"","SC_SEX","BIRTHYEAR","Age","HOURSLEEP05","HOURSLEEP","TOTALHOURS","SCREENTIME","X","X.1","X.2","X.3"
"306",1,2009,10,0,5,5,2,NA,"",NA,NA
"307",2,2005,14,0,5,5,4,NA,"",NA,NA
"308",1,2004,15,0,4,4,5,NA,"",NA,NA
"309",1,2009,10,0,5,5,2,NA,"",NA,NA
"310",1,2011,8,0,6,6,3,NA,"",NA,NA
"311",2,2016,3,3,0,3,1,NA,"",NA,NA
"312",1,2010,9,0,0,0,0,NA,"",NA,NA
"313",2,2015,4,4,0,4,3,NA,"",NA,NA
"314",2,2010,9,0,5,5,5,NA,"",NA,NA
"315",1,2006,13,0,4,4,4,NA,"",NA,NA
"316",2,2006,13,0,6,6,3,NA,"",NA,NA
"317",1,2001,18,0,1,1,5,NA,"",NA,NA
"318",1,2014,5,5,0,5,2,NA,"",NA,NA
"319",2,2002,17,0,2,2,5,NA,"",NA,NA
"320",2,2004,15,0,5,5,5,NA,"",NA,NA
"321",1,2014,5,4,0,4,3,NA,"",NA,NA
"322",1,2007,12,0,5,5,5,NA,"",NA,NA
"323",1,2004,15,0,4,4,4,NA,"",NA,NA
"324",1,2003,16,0,5,5,4,NA,"",NA,NA
"325",2,2003,16,0,5,5,0,NA,"",NA,NA
"326",1,2001,18,0,3,3,4,NA,"",NA,NA
"327",1,2015,4,5,0,5,4,NA,"",NA,NA
"328",1,2004,15,0,5,5,5,NA,"",NA,NA
"329",1,2019,0,0,4,4,3,NA,"",NA,NA
"330",1,2003,16,0,6,6,5,NA,"",NA,NA
"331",1,2018,1,7,0,7,1,NA,"",NA,NA
"332",2,2013,6,5,0,5,3,NA,"",NA,NA
"333",2,2011,8,0,6,6,3,NA,"",NA,NA
"334",2,2016,3,5,0,5,4,NA,"",NA,NA
"335",1,2009,10,0,6,6,1,NA,"",NA,NA
"336",2,2007,12,0,5,5,3,NA,"",NA,NA
"337",2,2007,12,0,6,6,3,NA,"",NA,NA
"338",1,2019,0,0,5,5,5,NA,"",NA,NA
"339",1,2010,9,0,6,6,3,NA,"",NA,NA
"340",1,2004,15,0,4,4,3,NA,"",NA,NA
"341",1,2006,13,0,3,3,5,NA,"",NA,NA
"342",1,2013,6,0,6,6,2,NA,"",NA,NA
"343",2,2006,13,0,4,4,4,NA,"",NA,NA
"344",2,2008,11,0,5,5,2,NA,"",NA,NA
"345",2,2007,12,0,5,5,2,NA,"",NA,NA
"346",1,2002,17,0,4,4,4,NA,"",NA,NA
"347",2,2003,16,0,4,4,2,NA,"",NA,NA
"348",1,2002,17,0,0,0,0,NA,"",NA,NA
"349",1,2005,14,0,6,6,4,NA,"",NA,NA
"350",2,2007,12,0,4,4,5,NA,"",NA,NA
"351",1,2013,6,0,7,7,2,NA,"",NA,NA
"352",2,2014,5,5,0,5,3,NA,"",NA,NA
"353",1,2011,8,0,4,4,4,NA,"",NA,NA
"354",2,2009,10,0,6,6,3,NA,"",NA,NA
"355",1,2018,1,7,0,7,1,NA,"",NA,NA
"356",2,2013,6,3,0,3,2,NA,"",NA,NA
"357",1,2011,8,0,6,6,2,NA,"",NA,NA
"358",2,2006,13,0,4,4,3,NA,"",NA,NA
"359",1,2009,10,0,5,5,5,NA,"",NA,NA
"360",2,2016,3,7,0,7,2,NA,"",NA,NA
"361",2,2004,15,0,3,3,5,NA,"",NA,NA
"362",1,2015,4,6,0,6,4,NA,"",NA,NA
"363",1,2011,8,0,5,5,3,NA,"",NA,NA
"364",1,2005,14,0,4,4,1,NA,"",NA,NA
"365",1,2008,11,0,6,6,2,NA,"",NA,NA
"366",1,2016,3,5,0,5,2,NA,"",NA,NA
"367",2,2018,1,7,0,7,1,NA,"",NA,NA
"368",2,2003,16,0,4,4,5,NA,"",NA,NA
"369",2,2008,11,0,3,3,2,NA,"",NA,NA
"370",2,2018,1,5,0,5,1,NA,"",NA,NA
"371",2,2012,7,0,6,6,2,NA,"",NA,NA
"372",1,2010,9,0,4,4,1,NA,"",NA,NA
"373",2,2008,11,0,5,5,3,NA,"",NA,NA
"374",1,2003,16,0,4,4,5,NA,"",NA,NA
"375",1,2007,12,0,6,6,3,NA,"",NA,NA
"376",1,2007,12,0,4,4,4,NA,"",NA,NA
"377",1,2015,4,4,0,4,1,NA,"",NA,NA
"378",2,2005,14,0,3,3,5,NA,"",NA,NA
"379",2,2009,10,0,5,5,2,NA,"",NA,NA
"380",2,2015,4,4,0,4,5,NA,"",NA,NA
"381",2,2016,3,6,0,6,2,NA,"",NA,NA
"382",2,2019,0,7,0,7,1,NA,"",NA,NA
"383",1,2001,18,0,0,0,0,NA,"",NA,NA
"384",1,2008,11,0,4,4,3,NA,"",NA,NA
"385",2,2016,3,4,0,4,2,NA,"",NA,NA
"386",2,2001,18,0,4,4,3,NA,"",NA,NA
"387",2,2002,17,0,1,1,5,NA,"",NA,NA
"388",1,2014,5,0,1,1,5,NA,"",NA,NA
"389",1,2016,3,4,0,4,2,NA,"",NA,NA
"390",1,2001,18,0,3,3,3,NA,"",NA,NA
"391",1,2008,11,0,4,4,2,NA,"",NA,NA
"392",1,2003,16,0,5,5,4,NA,"",NA,NA
"393",1,2013,6,0,0,0,0,NA,"",NA,NA
"394",1,2015,4,6,0,6,3,NA,"",NA,NA
"395",2,2001,18,0,4,4,4,NA,"",NA,NA
"396",2,2004,15,0,2,2,2,NA,"",NA,NA
"397",2,2002,17,0,3,3,3,NA,"",NA,NA
"398",2,2009,10,0,6,6,3,NA,"",NA,NA
"399",2,2015,4,7,0,7,3,NA,"",NA,NA
"400",1,2002,17,0,6,6,5,NA,"",NA,NA
"401",1,2017,2,4,0,4,1,NA,"",NA,NA
"402",1,2011,8,0,4,4,4,NA,"",NA,NA
"403",2,2010,9,0,4,4,4,NA,"",NA,NA
"404",1,2007,12,0,0,0,0,NA,"",NA,NA
"405",2,2014,5,6,0,6,1,NA,"",NA,NA
"406",2,2019,0,5,0,5,2,NA,"",NA,NA
"407",2,2011,8,0,5,5,5,NA,"",NA,NA
"408",2,2003,16,0,4,4,5,NA,"",NA,NA
"409",1,2014,5,3,0,3,4,NA,"",NA,NA
"410",1,2005,14,0,3,3,5,NA,"",NA,NA
"411",1,2007,12,0,4,4,3,NA,"",NA,NA
"412",2,2007,12,0,4,4,3,NA,"",NA,NA
"413",1,2005,14,0,4,4,4,NA,"",NA,NA
"414",1,2005,14,0,0,0,0,NA,"",NA,NA
"415",1,2007,12,0,6,6,4,NA,"",NA,NA
"416",2,2010,9,0,6,6,1,NA,"",NA,NA
"417",2,2004,15,0,5,5,5,NA,"",NA,NA
"418",1,2004,15,0,5,5,4,NA,"",NA,NA
"419",2,2013,6,0,4,4,4,NA,"",NA,NA
"420",2,2004,15,0,3,3,4,NA,"",NA,NA
"421",2,2015,4,6,0,6,4,NA,"",NA,NA
"422",1,2014,5,7,0,7,4,NA,"",NA,NA
"423",2,2008,11,0,4,4,3,NA,"",NA,NA
"424",2,2006,13,0,5,5,4,NA,"",NA,NA
"425",1,2002,17,0,4,4,4,NA,"",NA,NA
"426",2,2017,2,7,0,7,5,NA,"",NA,NA
"427",2,2010,9,0,5,5,5,NA,"",NA,NA
"428",1,2014,5,6,0,6,3,NA,"",NA,NA
"429",2,2010,9,0,7,7,2,NA,"",NA,NA
"430",2,2001,18,0,4,4,5,NA,"",NA,NA
"431",1,2018,1,6,0,6,1,NA,"",NA,NA
"432",1,2009,10,0,4,4,3,NA,"",NA,NA
"433",2,2003,16,0,4,4,5,NA,"",NA,NA
"434",1,2014,5,3,0,3,5,NA,"",NA,NA
"435",2,2014,5,5,0,5,4,NA,"",NA,NA
"436",2,2007,12,0,4,4,3,NA,"",NA,NA
"437",1,2008,11,0,5,5,3,NA,"",NA,NA
"438",1,2006,13,0,6,6,5,NA,"",NA,NA
"439",1,2009,10,0,5,5,4,NA,"",NA,NA
"440",1,2012,7,0,4,4,5,NA,"",NA,NA
"441",1,2019,0,0,5,5,5,NA,"",NA,NA
"442",2,2010,9,0,6,6,3,NA,"",NA,NA
"443",2,2003,16,0,6,6,5,NA,"",NA,NA
"444",2,2009,10,0,5,5,4,NA,"",NA,NA
"445",2,2004,15,0,5,5,1,NA,"",NA,NA
